Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4
result_1.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.0956, 0.0931, 0.0579, 0.0885, 0.0772, 0.0568, 0.0604, 0.0568, 0.0590,32.1857, 35.4631, 19.7616, 31.7467, 26.2038, 20.1270, 20.6888, 20.0859, 20.1566,0.9976, 0.9898, 0.6511, 0.9522, 0.8420, 0.6397, 0.6572, 0.6417, 0.6481 
0.0555, 0.0678, 0.0327, 0.0349, 0.0566, 0.0485, 0.0498, 0.0345, 0.0364,14.7731, 15.7752, 8.2624, 8.8087, 12.6629, 10.4558, 9.2045, 8.4107, 8.6719,0.9989, 1.1624, 0.5924, 0.6221, 0.9372, 0.8084, 0.7647, 0.6095, 0.6333 
0.0584, 0.0581, 0.0346, 0.0408, 0.0466, 0.0359, 0.0356, 0.0357, 0.0367,38.7347, 44.4987, 23.7076, 39.5717, 37.8976, 25.8723, 27.4348, 24.0878, 25.8434,0.9974, 0.9989, 0.6117, 0.7369, 0.7818, 0.6226, 0.6259, 0.6174, 0.6320 
0.1206, 0.1154, 0.0653, 0.0638, 0.0889, 0.0646, 0.0642, 0.0649, 0.0653,26.7517, 27.5463, 14.3661, 15.3186, 19.6962, 14.4922, 14.4807, 14.3999, 14.2890,0.9979, 0.9611, 0.5498, 0.5498, 0.7405, 0.5509, 0.5495, 0.5505, 0.5498 
0.0871, 0.0837, 0.0593, 0.0721, 0.0732, 0.0614, 0.0626, 0.0607, 0.0625,48.7678, 69.2109, 34.7087, 61.1338, 37.0168, 33.9356, 35.2187, 34.2451, 34.1427,0.9966, 0.9680, 0.6360, 0.8542, 0.7698, 0.6426, 0.6508, 0.6397, 0.6496 
0.0999, 0.0966, 0.0533, 0.0948, 0.0712, 0.0535, 0.0567, 0.0534, 0.0531,55.0054, 75.2188, 43.4677, 75.4448, 59.9659, 43.9287, 51.8901, 42.5184, 40.3514,0.9998, 0.9898, 0.5645, 0.9616, 0.7187, 0.5612, 0.5909, 0.5604, 0.5555 
0.0575, 0.0542, 0.0313, 0.0541, 0.0400, 0.0313, 0.0316, 0.0307, 0.0315,22.7995, 21.5046, 12.2343, 20.9941, 14.6158, 12.4012, 12.3290, 12.3092, 12.5342,1.0004, 0.9646, 0.5722, 0.9687, 0.7226, 0.5707, 0.5755, 0.5596, 0.5714 
0.0746, 0.0939, 0.0596, 0.0762, 0.0558, 0.0633, 0.0614, 0.0611, 0.0564,15.2536, 19.0356, 11.5344, 15.6152, 13.2646, 11.8161, 11.3932, 11.6894, 10.8906,0.9972, 1.3420, 0.8438, 1.0640, 0.8033, 0.8691, 0.8341, 0.8599, 0.7863 
0.0778, 0.0756, 0.0445, 0.0443, 0.0550, 0.0442, 0.0446, 0.0441, 0.0442,38.6837, 41.7124, 21.1173, 21.1421, 28.0361, 20.9085, 20.9459, 20.5939, 21.0150,0.9996, 1.0114, 0.6082, 0.6109, 0.7307, 0.6021, 0.5989, 0.5976, 0.5968 
0.0952, 0.0942, 0.0565, 0.0579, 0.0749, 0.0568, 0.0570, 0.0572, 0.0573,12.0486, 12.0902, 7.1686, 7.0271, 9.5132, 7.1463, 6.9982, 7.2350, 7.1233,0.9985, 1.0003, 0.5723, 0.5680, 0.7747, 0.5704, 0.5594, 0.5728, 0.5651 
0.0639, 0.0645, 0.0383, 0.0621, 0.0522, 0.0399, 0.0408, 0.0398, 0.0390,47.7309, 67.3690, 23.5016, 54.7266, 42.0121, 20.5609, 22.4904, 20.8931, 21.3987,0.9997, 1.0169, 0.6010, 0.9896, 0.8063, 0.6103, 0.6238, 0.6101, 0.6066 
0.0435, 0.0437, 0.0236, 0.0317, 0.0333, 0.0242, 0.0256, 0.0241, 0.0253,12.2964, 12.3149, 6.5584, 9.0467, 9.3813, 6.6002, 6.8151, 6.5830, 6.7580,0.9992, 1.0029, 0.5522, 0.7637, 0.7883, 0.5590, 0.5824, 0.5567, 0.5732 
0.0810, 0.0804, 0.0405, 0.0415, 0.0589, 0.0411, 0.0411, 0.0411, 0.0409,102.5947, 175.3597, 79.0669, 71.2040, 109.9317, 76.7082, 73.4571, 74.9859, 78.2848,0.9986, 1.0517, 0.5651, 0.5804, 0.7719, 0.5691, 0.5669, 0.5674, 0.5696 
0.0779, 0.0757, 0.0407, 0.0732, 0.0621, 0.0404, 0.0403, 0.0406, 0.0404,13.5132, 13.4679, 7.4655, 13.3766, 10.3462, 7.4991, 7.3933, 7.5322, 7.5239,0.9981, 0.9765, 0.5410, 0.9533, 0.7693, 0.5430, 0.5331, 0.5434, 0.5413 
0.0764, 0.0750, 0.0409, 0.0719, 0.0590, 0.0415, 0.0417, 0.0413, 0.0416,136.8133, 159.8423, 47.9245, 142.1041, 93.8024, 55.0093, 45.8315, 46.7014, 47.1871,0.9964, 1.0005, 0.5457, 0.9569, 0.8080, 0.5582, 0.5446, 0.5461, 0.5508 
0.0792, 0.0789, 0.0460, 0.0783, 0.0644, 0.0459, 0.0473, 0.0459, 0.0448,62.1316, 67.4750, 46.4228, 73.7302, 49.5568, 48.3979, 51.2444, 48.7278, 47.4107,0.9977, 1.0107, 0.5989, 1.0276, 0.8156, 0.5952, 0.6101, 0.5920, 0.5727 
0.0438, 0.0444, 0.0244, 0.0401, 0.0358, 0.0246, 0.0248, 0.0245, 0.0247,7.4116, 7.4875, 4.2447, 6.9745, 6.0707, 4.2977, 4.2920, 4.2618, 4.2888,0.9968, 1.0070, 0.5638, 0.9445, 0.8124, 0.5726, 0.5723, 0.5659, 0.5702 
0.0407, 0.0404, 0.0235, 0.0237, 0.0321, 0.0238, 0.0239, 0.0240, 0.0240,15.4901, 15.8959, 9.3548, 9.4900, 12.3354, 9.7241, 9.7469, 9.7291, 9.6827,0.9966, 0.9960, 0.5850, 0.5927, 0.7622, 0.5928, 0.5916, 0.5965, 0.5955 
0.0912, 0.0906, 0.0544, 0.0589, 0.0722, 0.0568, 0.0559, 0.0551, 0.0560,66.4832, 82.7353, 59.3680, 64.7333, 63.4481, 65.7908, 64.3668, 62.0194, 61.2701,1.0040, 1.0010, 0.6013, 0.6418, 0.8108, 0.6225, 0.6210, 0.6083, 0.6116 
0.0818, 0.0883, 0.0423, 0.0729, 0.0653, 0.0419, 0.0436, 0.0418, 0.0415,24.0070, 27.6618, 13.7535, 22.8806, 20.5106, 14.1656, 14.0814, 13.9377, 13.5896,0.9992, 1.0580, 0.5572, 0.8945, 0.7949, 0.5524, 0.5655, 0.5508, 0.5456 
0.0670, 0.1446, 0.0416, 0.0586, 0.0546, 0.0431, 0.0453, 0.0424, 0.0421,10.5189, 18.9779, 7.2143, 9.2645, 9.5784, 7.6156, 7.8225, 7.4317, 7.3305,0.9998, 2.1167, 0.6384, 0.8444, 0.8322, 0.6639, 0.6895, 0.6513, 0.6443 
result_2.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.1209, 0.1143, 0.0690, 0.1042, 0.0972, 0.0675, 0.0711, 0.0675, 0.0692,42.4697, 46.5627, 23.7728, 39.6802, 35.4328, 23.4076, 24.2202, 23.5326, 23.8658,1.3323, 1.2854, 0.7499, 1.2021, 1.0372, 0.7302, 0.7596, 0.7324, 0.7427 
0.0855, 0.1104, 0.0431, 0.0583, 0.0762, 0.0462, 0.0485, 0.0464, 0.0481,22.3885, 24.5643, 11.2409, 16.7622, 18.3305, 11.3557, 11.7231, 11.7876, 11.7111,1.5406, 1.8837, 0.7561, 1.0024, 1.2954, 0.7798, 0.8192, 0.7942, 0.8153 
0.0780, 0.0776, 0.0384, 0.0414, 0.0628, 0.0400, 0.0394, 0.0395, 0.0398,53.6081, 63.0711, 31.4912, 43.2019, 72.3706, 37.0718, 34.9919, 33.5325, 34.0989,1.3446, 1.3360, 0.6809, 0.7523, 1.0801, 0.7064, 0.7027, 0.6959, 0.7046 
0.1490, 0.1393, 0.0851, 0.1031, 0.1126, 0.0859, 0.0850, 0.0871, 0.0866,34.4143, 36.4276, 19.1192, 24.4987, 28.6431, 19.2378, 19.4474, 19.1152, 19.2734,1.3017, 1.2317, 0.6864, 0.8388, 0.9718, 0.7037, 0.7038, 0.7068, 0.7073 
0.1165, 0.1130, 0.0640, 0.0812, 0.0856, 0.0643, 0.0647, 0.0653, 0.0664,60.3084, 91.4427, 37.4523, 69.2067, 52.1734, 36.9012, 38.3440, 37.7825, 38.0574,1.2523, 1.2364, 0.7149, 0.9120, 0.9342, 0.7180, 0.7205, 0.7245, 0.7297 
0.1263, 0.1224, 0.0714, 0.1159, 0.0926, 0.0720, 0.0721, 0.0722, 0.0722,88.3861, 115.6735, 58.6292, 103.2224, 85.1734, 60.1314, 63.2882, 59.1645, 57.8390,1.2644, 1.2788, 0.7131, 1.2439, 0.9708, 0.7166, 0.7177, 0.7168, 0.7151 
0.0729, 0.0669, 0.0369, 0.0640, 0.0492, 0.0370, 0.0373, 0.0361, 0.0364,25.3889, 24.4093, 14.0173, 22.6361, 17.8762, 14.1979, 14.0558, 13.9630, 13.7832,1.2899, 1.2606, 0.6452, 1.1645, 0.9153, 0.6479, 0.6522, 0.6352, 0.6384 
0.0899, 0.1206, 0.0702, 0.0639, 0.0731, 0.0742, 0.0742, 0.0718, 0.0724,19.9270, 24.9736, 13.5087, 14.1497, 17.9755, 14.7000, 14.7485, 14.2810, 14.4108,1.2838, 1.7421, 0.9169, 0.8841, 1.0779, 0.9680, 0.9701, 0.9424, 0.9485 
0.0942, 0.0967, 0.0697, 0.0743, 0.0750, 0.0715, 0.0690, 0.0707, 0.0712,44.6434, 55.3286, 30.7746, 40.8245, 39.8092, 30.9978, 30.2787, 31.1192, 31.3616,1.2403, 1.2836, 0.8351, 0.9413, 0.9581, 0.8538, 0.8247, 0.8412, 0.8413 
0.1321, 0.1253, 0.0765, 0.0863, 0.0920, 0.0768, 0.0754, 0.0767, 0.0758,16.8628, 16.2730, 9.9121, 11.5595, 12.4513, 9.9028, 9.7349, 9.9564, 9.7903,1.3923, 1.3444, 0.7902, 0.9423, 0.9931, 0.7903, 0.7718, 0.7912, 0.7762 
0.0922, 0.0897, 0.0575, 0.0855, 0.0749, 0.0573, 0.0560, 0.0577, 0.0573,82.1154, 95.6398, 31.7302, 80.4197, 51.6941, 28.8718, 32.3861, 29.5409, 27.6102,1.3774, 1.3590, 0.8364, 1.3319, 1.1014, 0.8417, 0.8278, 0.8378, 0.8413 
0.0583, 0.0581, 0.0287, 0.0327, 0.0442, 0.0289, 0.0300, 0.0290, 0.0296,16.1300, 15.7105, 8.5818, 9.0342, 12.8818, 8.5975, 8.7779, 8.5989, 8.7181,1.3479, 1.3493, 0.7095, 0.7838, 1.0883, 0.7123, 0.7263, 0.7112, 0.7180 
0.1023, 0.1054, 0.0584, 0.0762, 0.0794, 0.0597, 0.0602, 0.0588, 0.0592,197.0461, 295.9232, 74.1597, 106.5618, 159.9267, 72.0211, 69.7225, 74.8422, 75.7464,1.3358, 1.4281, 0.7556, 0.9208, 1.0384, 0.7808, 0.7829, 0.7647, 0.7746 
0.1121, 0.1069, 0.0540, 0.0958, 0.0786, 0.0543, 0.0540, 0.0539, 0.0539,18.5254, 18.2642, 9.1185, 17.0477, 13.9681, 9.3987, 9.2133, 9.1578, 9.1094,1.3821, 1.3333, 0.6835, 1.2130, 0.9935, 0.6988, 0.6915, 0.6841, 0.6796 
0.1059, 0.1041, 0.0471, 0.0952, 0.0827, 0.0480, 0.0490, 0.0474, 0.0477,155.2115, 236.6342, 58.7479, 167.0109, 94.0283, 62.4749, 62.4696, 53.7513, 59.6731,1.4481, 1.4883, 0.6503, 1.2969, 1.1594, 0.6686, 0.6847, 0.6487, 0.6558 
0.1153, 0.1138, 0.0573, 0.1094, 0.0964, 0.0570, 0.0576, 0.0573, 0.0563,66.2141, 86.2091, 54.2430, 89.5579, 87.7294, 58.3928, 61.0127, 58.6510, 58.4343,1.4635, 1.4679, 0.7654, 1.4380, 1.2978, 0.7599, 0.7693, 0.7646, 0.7484 
0.0621, 0.0632, 0.0279, 0.0496, 0.0478, 0.0281, 0.0281, 0.0282, 0.0281,10.8884, 11.0558, 5.0214, 8.6765, 8.8025, 5.0666, 5.0705, 5.1010, 5.1089,1.4365, 1.4677, 0.6595, 1.1639, 1.1401, 0.6659, 0.6664, 0.6654, 0.6664 
0.0571, 0.0586, 0.0286, 0.0322, 0.0432, 0.0295, 0.0294, 0.0294, 0.0294,20.8741, 23.8914, 10.8901, 12.5888, 18.0031, 11.8384, 11.7240, 11.5239, 11.5996,1.3961, 1.4750, 0.6808, 0.7820, 1.0437, 0.7058, 0.7048, 0.6980, 0.7036 
0.1218, 0.1181, 0.0687, 0.0920, 0.0934, 0.0696, 0.0696, 0.0690, 0.0689,81.0863, 111.7560, 60.2266, 80.1758, 97.2806, 65.5945, 65.6410, 65.0212, 64.4042,1.3125, 1.2917, 0.7662, 1.0251, 1.0689, 0.7770, 0.7782, 0.7693, 0.7696 
0.1203, 0.1275, 0.0743, 0.0940, 0.0945, 0.0723, 0.0738, 0.0733, 0.0727,34.9522, 41.5392, 25.6172, 30.8693, 30.2301, 25.4224, 25.6869, 25.4841, 24.9760,1.4306, 1.5157, 0.9046, 1.0791, 1.1496, 0.8892, 0.9053, 0.8941, 0.8913 
0.0919, 0.1827, 0.0559, 0.0712, 0.0764, 0.0625, 0.0627, 0.0557, 0.0561,15.2318, 25.1462, 8.7106, 11.3661, 13.0182, 10.1891, 10.2308, 8.8195, 8.9051,1.4177, 2.7841, 0.7908, 1.0280, 1.1403, 0.9246, 0.9109, 0.7775, 0.7865 
result_4.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.1425, 0.1351, 0.0795, 0.1167, 0.1141, 0.0796, 0.0821, 0.0787, 0.0799,51.4775, 57.6770, 27.1514, 44.3864, 48.3816, 28.8536, 30.5403, 27.3151, 29.6353,1.5527, 1.5586, 0.8940, 1.3685, 1.3052, 0.9123, 0.9306, 0.8907, 0.8971 
0.1212, 0.1537, 0.0778, 0.1073, 0.1047, 0.0802, 0.0775, 0.0775, 0.0779,32.9501, 36.6067, 17.7870, 32.8620, 25.7824, 17.7598, 17.2409, 17.6704, 17.3138,2.0983, 2.6798, 1.2961, 1.8275, 1.8546, 1.3232, 1.2748, 1.2888, 1.2807 
0.1098, 0.1156, 0.0456, 0.0558, 0.0822, 0.0471, 0.0629, 0.0495, 0.0486,122.4303, 129.7756, 33.5345, 71.3327, 88.6071, 42.8577, 77.7823, 48.0175, 46.0370,1.9264, 2.0390, 0.8049, 0.9708, 1.5059, 0.8462, 1.1413, 0.9010, 0.8803 
0.1853, 0.1690, 0.0904, 0.1543, 0.1408, 0.0921, 0.0922, 0.0929, 0.0927,44.9135, 47.2789, 24.7245, 41.1776, 42.6171, 25.4055, 25.1742, 25.4757, 25.3035,1.6257, 1.4849, 0.7840, 1.3451, 1.2842, 0.8042, 0.8113, 0.8087, 0.8104 
0.1358, 0.1414, 0.0714, 0.0810, 0.1044, 0.0712, 0.0710, 0.0711, 0.0719,77.0294, 142.3920, 49.6048, 70.6978, 91.0103, 49.8059, 47.7702, 49.5788, 48.2513,1.4793, 1.5670, 0.7871, 0.9182, 1.2043, 0.7898, 0.7841, 0.7881, 0.8014 
0.1544, 0.1497, 0.0830, 0.1323, 0.1043, 0.0847, 0.0825, 0.0832, 0.0838,107.5281, 148.0778, 69.3980, 116.3157, 101.6313, 72.0777, 71.1418, 68.0200, 68.1858,1.6406, 1.5723, 0.8328, 1.4314, 1.0713, 0.8498, 0.8271, 0.8303, 0.8371 
0.0809, 0.0792, 0.0442, 0.0716, 0.0650, 0.0443, 0.0450, 0.0441, 0.0448,27.6805, 28.3409, 15.9291, 24.9133, 24.6707, 16.1277, 16.4690, 15.9954, 16.2403,1.5450, 1.5404, 0.7856, 1.3582, 1.2165, 0.7866, 0.8003, 0.7830, 0.7949 
0.1157, 0.1464, 0.0813, 0.0793, 0.0889, 0.0792, 0.0792, 0.0809, 0.0782,26.9686, 30.8587, 17.8149, 17.3316, 21.5332, 17.8017, 17.9427, 18.5964, 17.9332,1.6914, 2.1658, 1.0622, 1.1372, 1.3168, 1.0775, 1.0727, 1.0628, 1.0320 
0.1249, 0.1293, 0.0690, 0.1207, 0.0954, 0.0691, 0.0680, 0.0681, 0.0669,61.6733, 69.6861, 35.1561, 61.8486, 51.8160, 34.8185, 35.0553, 34.8650, 34.8632,1.6318, 1.6465, 0.9073, 1.5263, 1.2137, 0.9144, 0.9121, 0.8976, 0.8973 
0.1611, 0.1518, 0.0840, 0.1417, 0.1074, 0.0842, 0.0837, 0.0841, 0.0841,22.1683, 20.8054, 11.4107, 19.6625, 14.9208, 11.4933, 11.3502, 11.4592, 11.4646,1.7695, 1.6884, 0.8892, 1.5835, 1.1891, 0.8866, 0.8805, 0.8858, 0.8860 
