Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4
0.1284, 0.1169, 0.0628, 0.1020, 0.0892, 0.0625, 0.0633, 0.0628, 0.0636,90.3643, 124.0537, 39.8468, 91.4892, 100.4335, 42.5184, 46.7409, 38.9456, 42.5032,1.8951, 1.8194, 0.9178, 1.6430, 1.3737, 0.9255, 0.9401, 0.9344, 0.9409 
0.0726, 0.0723, 0.0335, 0.0405, 0.0577, 0.0338, 0.0342, 0.0339, 0.0343,20.5442, 20.0597, 10.0929, 11.7766, 16.8289, 10.1569, 10.2965, 10.1927, 10.3829,1.7164, 1.7160, 0.8139, 0.9567, 1.4131, 0.8142, 0.8219, 0.8142, 0.8294 
0.1338, 0.1406, 0.0662, 0.1217, 0.1089, 0.0686, 0.0683, 0.0693, 0.0691,251.3896, 459.5361, 134.2501, 220.8799, 243.9574, 139.4609, 132.8190, 149.4456, 134.6907,1.8078, 1.9639, 0.8756, 1.6863, 1.4709, 0.9236, 0.9179, 0.9301, 0.9296 
0.1424, 0.1264, 0.0657, 0.0988, 0.0901, 0.0670, 0.0652, 0.0669, 0.0657,24.0434, 22.8107, 11.7352, 17.8778, 17.4495, 11.9435, 11.7901, 11.9937, 11.7765,1.7719, 1.6360, 0.8513, 1.2425, 1.2302, 0.8730, 0.8580, 0.8713, 0.8563 
0.1501, 0.1463, 0.0657, 0.1178, 0.1185, 0.0660, 0.0691, 0.0657, 0.0669,151.9105, 226.3442, 50.5606, 165.8186, 100.1262, 44.9856, 56.6000, 49.1173, 50.3158,2.0971, 2.0980, 0.9475, 1.5955, 1.6710, 0.9472, 0.9997, 0.9412, 0.9483 
0.1592, 0.1519, 0.0719, 0.1341, 0.1155, 0.0708, 0.0738, 0.0709, 0.0708,101.7618, 117.8782, 61.3611, 107.3384, 112.3861, 61.4215, 67.0074, 62.6366, 59.3218,2.1298, 2.0084, 0.9745, 1.8035, 1.5494, 0.9574, 1.0213, 0.9603, 0.9553 
0.0830, 0.0831, 0.0373, 0.0516, 0.0633, 0.0373, 0.0371, 0.0373, 0.0373,15.3409, 15.5239, 6.6519, 8.9912, 12.0606, 6.6492, 6.5998, 6.6870, 6.6990,1.9610, 2.0274, 0.8833, 1.2095, 1.5326, 0.8783, 0.8677, 0.8794, 0.8835 
0.0752, 0.0760, 0.0428, 0.0610, 0.0567, 0.0430, 0.0431, 0.0431, 0.0432,29.7728, 32.6145, 16.2947, 25.6851, 25.1979, 17.3396, 17.0887, 16.5273, 16.5699,1.8735, 1.8795, 1.0489, 1.4715, 1.4269, 1.0517, 1.0594, 1.0623, 1.0651 
0.1554, 0.1449, 0.0992, 0.1506, 0.1278, 0.0978, 0.0974, 0.0973, 0.0977,109.2816, 140.0527, 76.6272, 123.3959, 133.1814, 77.9740, 81.2539, 77.0251, 81.9180,1.7184, 1.6271, 1.0483, 1.7171, 1.5624, 1.0456, 1.0465, 1.0413, 1.0458 
0.1741, 0.1771, 0.1256, 0.1338, 0.1292, 0.1098, 0.1050, 0.1213, 0.1212,52.1630, 60.7075, 40.6596, 43.5188, 43.7066, 39.2517, 38.5247, 40.1859, 39.7174,2.0176, 2.1390, 1.3461, 1.3502, 1.6182, 1.2778, 1.2573, 1.3230, 1.3200 
0.1183, 0.2244, 0.0747, 0.1138, 0.1025, 0.0785, 0.0784, 0.0728, 0.0723,19.6733, 32.8473, 12.5643, 18.7538, 16.8143, 13.1759, 13.1699, 12.4566, 12.2744,1.7833, 3.5745, 1.1144, 1.6719, 1.5434, 1.1776, 1.1597, 1.0992, 1.0966 
result_6.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.1546, 0.1484, 0.0911, 0.1214, 0.1213, 0.0910, 0.0922, 0.0910, 0.0908,61.0919, 66.8340, 32.2556, 46.0020, 62.6095, 32.7640, 33.1668, 32.5364, 34.4805,1.7615, 1.7583, 1.0311, 1.4126, 1.5133, 1.0351, 1.0534, 1.0348, 1.0424 
0.1475, 0.1672, 0.1065, 0.1317, 0.1226, 0.1269, 0.1197, 0.1076, 0.1050,44.4575, 41.9777, 24.4757, 43.3785, 31.6751, 30.6776, 28.8801, 24.5688, 24.3803,2.6283, 2.9599, 1.7415, 2.2816, 2.1522, 2.0647, 1.9581, 1.7580, 1.7098 
0.1272, 0.1363, 0.0595, 0.0853, 0.0962, 0.0664, 0.0741, 0.0635, 0.0633,136.6738, 203.2823, 54.3824, 136.9694, 93.1404, 85.4501, 102.1907, 70.2704, 67.6739,2.3052, 2.4329, 1.0705, 1.4945, 1.7697, 1.2208, 1.3460, 1.1547, 1.1420 
0.2018, 0.1964, 0.1086, 0.1460, 0.1554, 0.1146, 0.1113, 0.1115, 0.1095,54.7965, 54.5185, 31.3634, 47.6071, 48.8743, 34.9412, 33.9142, 32.1742, 32.3503,1.8016, 1.7061, 0.9442, 1.3516, 1.3931, 1.0175, 0.9880, 0.9663, 0.9621 
0.1454, 0.1600, 0.0769, 0.0815, 0.1174, 0.0763, 0.0764, 0.0774, 0.0768,118.2591, 165.7036, 67.0892, 67.8892, 116.9304, 71.5883, 74.5432, 66.4997, 67.7246,1.6573, 1.8140, 0.8640, 0.9375, 1.3785, 0.8555, 0.8595, 0.8777, 0.8636 
0.1710, 0.1690, 0.0955, 0.1400, 0.1141, 0.0945, 0.0956, 0.0945, 0.0950,138.0416, 166.5095, 84.8718, 122.1753, 111.8955, 83.7381, 87.8984, 84.3703, 85.9984,1.8086, 1.7990, 1.0106, 1.5158, 1.2009, 0.9995, 1.0103, 1.0004, 1.0038 
0.0920, 0.0926, 0.0488, 0.0760, 0.0775, 0.0487, 0.0488, 0.0485, 0.0486,32.9077, 33.5500, 17.7954, 25.7024, 29.7657, 17.8353, 18.0002, 17.7912, 17.9485,1.8169, 1.8344, 0.9164, 1.4332, 1.5209, 0.9154, 0.9197, 0.9124, 0.9192 
0.1332, 0.1575, 0.1325, 0.1154, 0.1160, 0.1322, 0.1297, 0.1306, 0.1308,28.2921, 30.9303, 26.3771, 23.6117, 25.9550, 26.4011, 26.3958, 26.3898, 26.3462,1.9320, 2.3523, 1.6018, 1.6713, 1.7201, 1.7236, 1.6493, 1.6943, 1.7023 
0.1429, 0.1436, 0.0814, 0.1244, 0.1109, 0.0833, 0.0867, 0.0823, 0.0823,73.2685, 77.2359, 44.0098, 70.3082, 60.2127, 45.4311, 46.7094, 44.7553, 44.2598,1.8602, 1.8612, 1.0908, 1.5980, 1.4897, 1.1099, 1.1685, 1.1007, 1.0856 
0.1665, 0.1648, 0.1003, 0.1434, 0.1335, 0.0993, 0.1006, 0.1001, 0.0995,23.5375, 23.2214, 14.2250, 21.0738, 17.6683, 14.0287, 13.9982, 14.1290, 14.1387,1.8378, 1.8446, 1.0936, 1.6145, 1.4734, 1.0834, 1.0941, 1.0900, 1.0872 
0.1533, 0.1329, 0.0695, 0.1048, 0.0995, 0.0691, 0.0693, 0.0701, 0.0688,143.7424, 179.0908, 50.7638, 97.8791, 112.8491, 53.4902, 52.7003, 48.0426, 53.5189,2.2734, 2.0796, 1.0450, 1.6889, 1.5939, 1.0529, 1.0645, 1.0702, 1.0599 
0.0805, 0.0829, 0.0417, 0.0538, 0.0723, 0.0420, 0.0424, 0.0425, 0.0440,22.4149, 22.6349, 12.5254, 16.6943, 19.9421, 12.5136, 12.5463, 12.8317, 12.9898,1.8933, 1.9386, 1.0312, 1.2894, 1.7319, 1.0318, 1.0441, 1.0490, 1.0794 
0.1619, 0.1609, 0.0818, 0.1499, 0.1502, 0.0868, 0.0905, 0.0848, 0.0866,362.4343, 516.2833, 189.7315, 265.0420, 349.7400, 222.5491, 256.1144, 218.1535, 224.1810,2.1650, 2.3241, 1.0804, 2.0138, 2.1064, 1.1603, 1.2244, 1.1286, 1.1633 
0.1630, 0.1462, 0.0727, 0.1062, 0.1007, 0.0738, 0.0731, 0.0725, 0.0734,28.6808, 27.7034, 13.8126, 18.7288, 19.4543, 13.9990, 13.9117, 13.7344, 14.0091,2.0501, 1.9650, 0.9609, 1.3013, 1.3329, 0.9729, 0.9737, 0.9537, 0.9769 
0.1806, 0.1699, 0.0911, 0.1222, 0.1454, 0.0912, 0.0935, 0.0902, 0.0917,194.3641, 347.4255, 123.4124, 193.1589, 90.0849, 101.9994, 81.0093, 114.9721, 118.8208,2.4927, 2.4988, 1.2604, 1.6788, 2.0371, 1.2543, 1.2883, 1.2479, 1.2685 
0.1901, 0.1776, 0.0952, 0.1416, 0.1408, 0.0949, 0.0948, 0.0949, 0.0946,182.6691, 152.0307, 76.7904, 107.9481, 140.5168, 79.2303, 80.1256, 80.1068, 79.9489,2.5447, 2.4355, 1.2531, 1.8934, 1.9734, 1.2508, 1.2537, 1.2483, 1.2426 
0.0970, 0.0967, 0.0497, 0.0527, 0.0786, 0.0480, 0.0504, 0.0492, 0.0490,18.4237, 18.5768, 8.5121, 9.3165, 14.1245, 8.5943, 9.2106, 8.5604, 8.6082,2.3084, 2.4055, 1.1508, 1.2396, 1.8668, 1.1418, 1.2134, 1.1489, 1.1505 
0.0841, 0.0876, 0.0541, 0.0768, 0.0744, 0.0547, 0.0552, 0.0550, 0.0571,36.9331, 41.6436, 21.0895, 34.0783, 34.6217, 21.8263, 21.8799, 21.4882, 22.5846,2.0563, 2.2005, 1.3443, 1.8890, 1.8399, 1.3404, 1.3605, 1.3637, 1.4117 
0.1654, 0.1537, 0.1157, 0.1627, 0.1597, 0.1146, 0.1166, 0.1163, 0.1153,106.7571, 158.7409, 95.1322, 148.4401, 158.9218, 101.1193, 107.4989, 98.8677, 101.0454,1.8993, 1.8233, 1.2956, 1.8905, 1.9712, 1.3070, 1.3299, 1.3158, 1.3039 
0.2075, 0.2049, 0.1712, 0.1868, 0.1727, 0.1490, 0.1532, 0.1603, 0.1734,63.9654, 69.7526, 59.2281, 62.9543, 55.2010, 54.2758, 55.6106, 56.4410, 56.8568,2.4204, 2.4026, 1.8572, 1.9479, 2.0359, 1.7205, 1.7527, 1.7829, 1.8346 
0.1476, 0.2629, 0.0916, 0.1718, 0.1172, 0.0999, 0.1114, 0.0964, 0.1001,24.9113, 38.7160, 15.5495, 29.5437, 21.4363, 16.5066, 17.8789, 16.1182, 16.6276,2.2918, 4.2304, 1.3810, 2.6141, 1.8516, 1.5242, 1.7172, 1.4566, 1.5270 
result_8.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.1575, 0.1612, 0.1006, 0.1249, 0.1348, 0.1006, 0.0981, 0.0999, 0.1007,64.0055, 72.2065, 35.7789, 46.5448, 70.4568, 37.2897, 35.7739, 37.6923, 40.1728,1.8820, 1.9395, 1.1344, 1.4627, 1.6429, 1.1476, 1.1133, 1.1271, 1.1343 
0.1653, 0.1865, 0.1160, 0.1317, 0.1241, 0.1247, 0.1241, 0.1132, 0.1134,48.8288, 46.2383, 27.1451, 45.5036, 32.2065, 28.4195, 27.5919, 26.0565, 26.2470,2.9987, 3.4375, 1.8857, 2.3791, 2.1833, 2.0089, 1.9882, 1.8349, 1.8368 
0.1407, 0.1374, 0.0710, 0.1109, 0.1057, 0.0830, 0.0827, 0.0779, 0.0732,96.1019, 150.1438, 77.9364, 162.1180, 96.5718, 112.9093, 112.2517, 91.7028, 79.7748,2.5557, 2.5797, 1.3267, 1.9630, 1.9722, 1.5387, 1.4988, 1.4525, 1.3516 
0.2244, 0.2103, 0.1281, 0.1739, 0.1646, 0.1323, 0.1240, 0.1310, 0.1256,61.9852, 63.0280, 33.6066, 51.6721, 50.4781, 35.2897, 34.5348, 34.6954, 34.0173,2.0035, 1.8490, 1.0947, 1.5354, 1.4614, 1.1542, 1.0864, 1.1324, 1.0860 
0.1638, 0.1939, 0.0795, 0.0866, 0.1255, 0.0796, 0.0788, 0.0800, 0.0801,142.8472, 202.9631, 79.8026, 88.9346, 126.2611, 78.6486, 80.1691, 78.7407, 82.6459,1.8913, 2.1388, 0.9408, 1.0412, 1.5579, 0.9341, 0.9172, 0.9431, 0.9502 
0.1842, 0.1729, 0.1097, 0.1470, 0.1454, 0.1082, 0.0997, 0.1081, 0.0999,163.0938, 170.6531, 90.4204, 111.2321, 127.9032, 88.1133, 86.1839, 87.0875, 83.5514,1.9703, 1.8234, 1.1448, 1.5785, 1.4593, 1.1303, 1.0506, 1.1295, 1.0511 
0.1044, 0.1032, 0.0556, 0.0798, 0.0853, 0.0560, 0.0561, 0.0553, 0.0553,39.7910, 38.2556, 20.2951, 27.4775, 30.9687, 20.1723, 20.1549, 20.2391, 20.2373,2.0283, 2.0701, 1.0316, 1.5259, 1.6322, 1.0360, 1.0370, 1.0275, 1.0276 
0.1542, 0.1672, 0.1529, 0.1450, 0.1303, 0.1589, 0.1569, 0.1521, 0.1485,31.8020, 32.2313, 27.0529, 28.9854, 26.5561, 27.8740, 27.8003, 27.4996, 26.8452,2.3043, 2.5328, 1.8651, 2.1459, 1.9204, 2.0663, 2.0342, 1.9735, 1.9822 
0.1523, 0.1519, 0.0925, 0.1274, 0.1229, 0.0969, 0.0958, 0.0947, 0.0936,77.5891, 76.8384, 46.4189, 72.9748, 65.3832, 51.5015, 49.6574, 48.2494, 47.4820,2.0749, 1.9981, 1.2260, 1.6932, 1.6625, 1.2788, 1.2594, 1.2471, 1.2319 
0.1873, 0.1702, 0.1019, 0.1462, 0.1337, 0.1039, 0.1061, 0.1015, 0.1016,27.2856, 24.5450, 14.5221, 22.5090, 18.2086, 14.1715, 14.5962, 14.1910, 14.2907,2.1164, 1.9303, 1.1045, 1.6896, 1.5016, 1.1151, 1.1433, 1.1038, 1.1048 
0.1593, 0.1425, 0.0832, 0.1053, 0.1144, 0.0835, 0.0844, 0.0836, 0.0841,185.2389, 191.3227, 48.9006, 95.0001, 103.4099, 50.6114, 57.7024, 49.9820, 49.7709,2.4659, 2.2855, 1.2302, 1.7011, 1.8336, 1.2498, 1.2826, 1.2508, 1.2665 
0.0912, 0.0972, 0.0451, 0.0655, 0.0845, 0.0454, 0.0456, 0.0449, 0.0478,24.9047, 24.9541, 13.7418, 20.5418, 22.5554, 13.1528, 13.3744, 13.5356, 13.9098,2.1239, 2.2102, 1.1081, 1.5961, 1.9640, 1.0995, 1.1041, 1.1013, 1.1626 
0.1826, 0.1732, 0.0862, 0.1552, 0.1401, 0.0927, 0.0899, 0.0887, 0.0872,318.9190, 507.7580, 221.8667, 321.5679, 309.8994, 285.3332, 259.7041, 241.3916, 246.9640,2.4757, 2.4892, 1.1578, 2.0831, 1.9896, 1.2664, 1.2377, 1.2026, 1.1989 
0.1652, 0.1520, 0.0828, 0.1002, 0.1085, 0.0847, 0.0850, 0.0846, 0.0842,30.3097, 28.4574, 15.8399, 18.5053, 20.7061, 16.2408, 16.2064, 15.9971, 15.9867,2.1451, 2.0356, 1.0714, 1.2464, 1.4124, 1.1035, 1.1061, 1.0926, 1.0941 
0.2037, 0.1906, 0.1044, 0.1214, 0.1561, 0.1113, 0.1070, 0.1047, 0.1063,185.2234, 228.3418, 142.4689, 199.5268, 145.0933, 133.5765, 131.6640, 139.5724, 142.6803,2.8374, 2.7937, 1.3985, 1.6935, 2.1808, 1.4809, 1.4246, 1.4025, 1.4258 
0.2076, 0.1865, 0.1215, 0.1498, 0.1528, 0.1179, 0.1181, 0.1191, 0.1189,174.1862, 154.2920, 105.6523, 101.3664, 131.6679, 103.3175, 103.5386, 103.3605, 103.7534,2.7407, 2.5468, 1.6363, 2.0352, 2.1143, 1.5696, 1.5602, 1.6036, 1.5933 
0.1040, 0.1068, 0.0527, 0.0567, 0.0914, 0.0511, 0.0553, 0.0526, 0.0524,19.9798, 20.2110, 9.2326, 10.4146, 16.5483, 9.4194, 10.2849, 9.1908, 9.2513,2.4960, 2.6713, 1.2363, 1.3498, 2.2155, 1.2348, 1.3561, 1.2319, 1.2338 
0.0943, 0.0983, 0.0563, 0.0823, 0.0772, 0.0564, 0.0577, 0.0552, 0.0560,40.5114, 45.6738, 21.3421, 37.0866, 36.6854, 21.6095, 23.2225, 21.1411, 22.2283,2.3155, 2.5118, 1.4200, 2.0685, 1.9123, 1.3954, 1.4340, 1.3969, 1.3963 
0.1882, 0.1747, 0.1132, 0.1883, 0.1691, 0.1145, 0.1139, 0.1131, 0.1134,123.5822, 188.5823, 101.2942, 150.9858, 168.4682, 106.3648, 106.9863, 106.4323, 106.7943,2.2321, 2.0981, 1.3206, 2.1665, 2.1001, 1.3438, 1.3473, 1.3290, 1.3278 
0.2295, 0.2252, 0.1890, 0.1821, 0.1762, 0.1398, 0.1427, 0.1747, 0.1750,72.8271, 79.8168, 65.9591, 77.0918, 69.3159, 49.4230, 44.8563, 63.0430, 62.7274,2.6444, 2.7404, 2.0130, 2.2445, 2.2713, 1.6710, 1.6385, 1.9286, 1.9219 
0.1681, 0.2971, 0.1004, 0.2139, 0.1347, 0.1163, 0.1089, 0.1095, 0.1046,28.5387, 44.4823, 16.1390, 38.7768, 25.7031, 19.8377, 17.3125, 17.0922, 16.4314,2.6066, 4.7754, 1.5175, 3.3451, 2.1449, 1.8625, 1.6760, 1.6621, 1.5888 
